"id","flower_colour","rosea","sulfurea"
"M0261","FR","R/R","S/+"
"M0262","FR","R/R","S/+"
"M0263","FR","R/R","S/+"
"M0264","FR","R/R","S/+"
"M0265","FR","R/R","S/+"
"M0266","FR","R/R","S/+"
"M0267","FO","R/R","s/s"
"M0268","FR","R/R","S/+"
"M0269","FR","R/R","S/+"
"M0270","FO","R/R","s/s"
"M0271","FR","R/R","S/+"
"M0272","FR","R/R","S/+"
"M0273","FR","R/R","S/+"
"M0277","FR","R/R","S/+"
"M0278","FR","R/R","S/+"
"M0279","WR","R/r","S/+"
"M0281","WR","R/r","S/+"
"M0282","FR","R/R","S/+"
"M0283","FR","R/R","S/+"
"M0284","FO","R/R","s/s"
"M0286","WR","R/r","S/+"
"M0287","FR","R/R","S/+"
"M0290","FR","R/R","S/+"
"M0291","FR","R/R","S/+"
"M0292","FR","R/R","S/+"
"M0293","FR","R/R","S/+"
"M0295","FR","R/R","S/+"
"M0296","FR","R/R","S/+"
"M0297","FR","R/R","S/+"
"M0299","FR","R/R","S/+"
"M0306","Wh","r/r","S/+"
"M0310","FR","R/R","S/+"
"M0312","WR","R/r","S/+"
"M0317","Ye","r/r","s/s"
"J1284","WR","R/r","S/+"
"M0319","WR","R/r","S/+"
"M0320","FR","R/R","S/+"
"M0323","WO","R/r","s/s"
"M0329","Ye","r/r","s/s"
"M0331","Wh","r/r","S/+"
"M0332","Ye","r/r","s/s"
"M0333","FO","R/R","s/s"
"M0334","Wh","r/r","S/+"
"M0336","FR","R/R","S/+"
"K0632","Wh","r/r","S/+"
"M0344","WR","R/r","S/+"
"M0346","Wh","r/r","S/+"
"M0347","FR","R/R","S/+"
"M0351","WO","R/r","s/s"
"M0352","WR","R/r","S/+"
"M0354","WR","R/r","S/+"
"M0358","FR","R/R","S/+"
"M0360","Ye","r/r","s/s"
"M0361","Ye","r/r","s/s"
"M0363","Ye","r/r","s/s"
"M0364","WO","R/r","s/s"
"M0367","Ye","r/r","s/s"
"M0369","FR","R/R","S/+"
"M0372","Ye","r/r","s/s"
"M0379","WR","R/r","S/+"
"M0381","FR","R/R","S/+"
"M0383","Ye","r/r","s/s"
"M0384","WR","R/r","S/+"
"M0385","WO","R/r","s/s"
"M0388","WR","R/r","S/+"
"M0390","FO","R/R","s/s"
"M0393","FR","R/R","S/+"
"M0395","FR","R/R","S/+"
"M0401","WO","R/r","s/s"
"M0402","FR","R/R","S/+"
"K0464","FR","R/R","S/+"
"M0405","FR","R/R","S/+"
"M0411","FO","R/R","s/s"
"M0413","Ye","r/r","s/s"
"M0415","FR","R/R","S/+"
"M0416","Wh","r/r","S/+"
"M0417","WO","R/r","s/s"
"M0418","FO","R/R","s/s"
"M0419","Ye","r/r","s/s"
"M0420","Ye","r/r","s/s"
"M0421","FO","R/R","s/s"
"M0423","FR","R/R","S/+"
"M0424","WO","R/r","s/s"
"K1211","WR","R/r","S/+"
"M0427","FR","R/R","S/+"
"M0428","FR","R/R","S/+"
"M0429","WR","R/r","S/+"
"M0430","WO","R/r","s/s"
"M0431","WR","R/r","S/+"
"M0434","WR","R/r","S/+"
"M0435","FR","R/R","S/+"
"M0437","FR","R/R","S/+"
"M0439","FO","R/R","s/s"
"M0440","FR","R/R","S/+"
"M0441","FR","R/R","S/+"
"M0443","FR","R/R","S/+"
"M0445","Ye","r/r","s/s"
"M0447","WR","R/r","S/+"
"M0451","Ye","r/r","s/s"
"M0453","Ye","r/r","s/s"
"M0455","WO","R/r","s/s"
"M0458","Ye","r/r","s/s"
"M0459","Ye","r/r","s/s"
"M0460","WR","R/r","S/+"
"M0461","Ye","r/r","s/s"
"M0464","FR","R/R","S/+"
"M0465","WO","R/r","s/s"
"M0466","FR","R/R","S/+"
"M0467","FO","R/R","s/s"
"M0468","FR","R/R","S/+"
"M0470","Ye","r/r","s/s"
"M0472","FR","R/R","S/+"
"M0473","WO","R/r","s/s"
"M0474","WR","R/r","S/+"
"M0475","WO","R/r","s/s"
"M0479","Ye","r/r","s/s"
"M0481","FR","R/R","S/+"
"M0482","FR","R/R","S/+"
"M0484","FR","R/R","S/+"
"M0485","FR","R/R","S/+"
"M0488","Ye","r/r","s/s"
"M0489","WR","R/r","S/+"
"M0492","WO","R/r","s/s"
"M0494","FR","R/R","S/+"
"M0495","FR","R/R","S/+"
"M0497","FR","R/R","S/+"
"M0505","Ye","r/r","s/s"
"M0508","FR","R/R","S/+"
"M0509","Ye","r/r","s/s"
"M0514","WR","R/r","S/+"
"M0516","FR","R/R","S/+"
"M0517","FR","R/R","S/+"
"M0523","Ye","r/r","s/s"
"M0526","FR","R/R","S/+"
"M0529","WR","R/r","S/+"
"M0532","WO","R/r","s/s"
"M0534","Ye","r/r","s/s"
"M0536","FR","R/R","S/+"
"M0537","FR","R/R","S/+"
"M0540","Ye","r/r","s/s"
"M0541","Ye","r/r","s/s"
"M0544","Ye","r/r","s/s"
"M0545","Ye","r/r","s/s"
"M0547","FR","R/R","S/+"
"M0548","WR","R/r","S/+"
"M0552","FR","R/R","S/+"
"M0557","Ye","r/r","s/s"
"M0575","Ye","r/r","s/s"
"M0579","FR","R/R","S/+"
"M0580","FR","R/R","S/+"
"M0583","FR","R/R","S/+"
"M0584","Ye","r/r","s/s"
"M0589","FR","R/R","S/+"
"M0591","Ye","r/r","s/s"
"M0592","Ye","r/r","s/s"
"M0593","Ye","r/r","s/s"
"M0596","Ye","r/r","s/s"
"M0597","FR","R/R","S/+"
"M0602","Ye","r/r","s/s"
"M0603","WR","R/r","S/+"
"M0605","Ye","r/r","s/s"
"M0606","Ye","r/r","s/s"
"M0607","Ye","r/r","s/s"
"M0613","Ye","r/r","s/s"
"M0616","Ye","r/r","s/s"
"M0617","Ye","r/r","s/s"
"M0618","Ye","r/r","s/s"
"M0619","Ye","r/r","s/s"
"M0620","Ye","r/r","s/s"
"M0622","Ye","r/r","s/s"
"M0623","WO","R/r","s/s"
"M0624","Ye","r/r","s/s"
"M0625","Ye","r/r","s/s"
"M0626","Ye","r/r","s/s"
"M0627","Ye","r/r","s/s"
"M0628","Ye","r/r","s/s"
"M0631","Ye","r/r","s/s"
"M0634","Ye","r/r","s/s"
"M0637","Ye","r/r","s/s"
"M0638","Ye","r/r","s/s"
"M0640","Ye","r/r","s/s"
"M0643","Ye","r/r","s/s"
"M0644","Ye","r/r","s/s"
"M0645","Ye","r/r","s/s"
"M0646","Ye","r/r","s/s"
"M0648","Ye","r/r","s/s"
"M0649","Ye","r/r","s/s"
"M0650","WO","R/r","s/s"
"M0652","FR","R/R","S/+"
"M0653","FR","R/R","S/+"
"M0654","FR","R/R","S/+"
"M0656","FO","R/R","s/s"
"M0657","FR","R/R","S/+"
"M0658","FR","R/R","S/+"
"M0661","FR","R/R","S/+"
"M0662","FR","R/R","S/+"
"M0663","WR","R/r","S/+"
"M0666","FO","R/R","s/s"
"M0667","FR","R/R","S/+"
"M0668","FR","R/R","S/+"
"M0669","FR","R/R","S/+"
"M0670","FR","R/R","S/+"
"M0672","FR","R/R","S/+"
"M0673","FR","R/R","S/+"
"M0674","FR","R/R","S/+"
"M0675","FR","R/R","S/+"
"M0681","WO","R/r","s/s"
"M0682","FR","R/R","S/+"
"M0683","FR","R/R","S/+"
"M0684","WR","R/r","S/+"
"M0685","FR","R/R","S/+"
"M0686","FR","R/R","S/+"
"M0687","FR","R/R","S/+"
"M0689","WO","R/r","s/s"
"M0693","FR","R/R","S/+"
"M0694","FR","R/R","S/+"
"M0695","WR","R/r","S/+"
"M0700","WO","R/r","s/s"
"M0701","Ye","r/r","s/s"
"M0702","Ye","r/r","s/s"
"M0703","FR","R/R","S/+"
"M0704","FR","R/R","S/+"
"M0705","Ye","r/r","s/s"
"M0706","WR","R/r","S/+"
"M0707","Ye","r/r","s/s"
"M0710","Ye","r/r","s/s"
"M0712","FR","R/R","S/+"
"M0715","FR","R/R","S/+"
"M0717","FR","R/R","S/+"
"M0718","Ye","r/r","s/s"
"M0720","Ye","r/r","s/s"
"M0721","Ye","r/r","s/s"
"M0722","WR","R/r","S/+"
"M0723","Ye","r/r","s/s"
"M0725","Wh","r/r","S/+"
"M0727","FR","R/R","S/+"
"M0729","FR","R/R","S/+"
"M0730","FR","R/R","S/+"
"M0731","FR","R/R","S/+"
"M0732","FR","R/R","S/+"
"M0735","FR","R/R","S/+"
"K1632","WO","R/r","s/s"
"M0738","FR","R/R","S/+"
"M0739","FR","R/R","S/+"
"M0740","FR","R/R","S/+"
"M0741","FR","R/R","S/+"
"K1173","FR","R/R","S/+"
"M0746","FR","R/R","S/+"
"M0747","Ye","r/r","s/s"
"M0748","FR","R/R","S/+"
"M0752","FR","R/R","S/+"
"K0595","FR","R/R","S/+"
"M0759","WR","R/r","S/+"
"M0760","WR","R/r","S/+"
"M0761","FR","R/R","S/+"
"M0763","WR","R/r","S/+"
"M0764","FR","R/R","S/+"
"M0765","FR","R/R","S/+"
"M0766","FR","R/R","S/+"
"M0767","FR","R/R","S/+"
"M0769","FR","R/R","S/+"
"M0771","WR","R/r","S/+"
"M0774","WR","R/r","S/+"
"M0775","FR","R/R","S/+"
"M0776","FR","R/R","S/+"
"M0777","FR","R/R","S/+"
"M0778","FR","R/R","S/+"
"M0780","FR","R/R","S/+"
"M0781","WR","R/r","S/+"
"M0782","FR","R/R","S/+"
"M0785","FR","R/R","S/+"
"M0786","FR","R/R","S/+"
"M0787","FR","R/R","S/+"
"M0788","FR","R/R","S/+"
"J0453","FR","R/R","S/+"
"M0791","FR","R/R","S/+"
"M0792","Ye","r/r","s/s"
"M0793","Ye","r/r","s/s"
"M0794","FR","R/R","S/+"
"M0796","FR","R/R","S/+"
"M0798","Wh","r/r","S/+"
"M0799","FR","R/R","S/+"
"M0801","Ye","r/r","s/s"
"M0804","FR","R/R","S/+"
"M0805","FR","R/R","S/+"
"M0807","FR","R/R","S/+"
"M0808","FR","R/R","S/+"
"M0810","WR","R/r","S/+"
"M0813","Ye","r/r","s/s"
"M0814","FR","R/R","S/+"
"M0815","WR","R/r","S/+"
"M0816","FO","R/R","s/s"
"M0817","Ye","r/r","s/s"
"M0820","FR","R/R","S/+"
"M0822","Ye","r/r","s/s"
"M0824","FR","R/R","S/+"
"M0827","FR","R/R","S/+"
"M0828","FR","R/R","S/+"
"M0829","FR","R/R","S/+"
"M0830","WR","R/r","S/+"
"M0832","Ye","r/r","s/s"
"M0835","Ye","r/r","s/s"
"M0839","WO","R/r","s/s"
"M0840","FR","R/R","S/+"
"M0841","FR","R/R","S/+"
"M0842","WR","R/r","S/+"
"M0844","Ye","r/r","s/s"
"M0848","Ye","r/r","s/s"
"M0849","FR","R/R","S/+"
"M0850","Ye","r/r","s/s"
"M0851","WO","R/r","s/s"
"M0852","Ye","r/r","s/s"
"M0853","FR","R/R","S/+"
"M0854","FR","R/R","S/+"
"M0856","Ye","r/r","s/s"
"M0857","FR","R/R","S/+"
"M0859","FR","R/R","S/+"
"M0860","FR","R/R","S/+"
"M0861","Wh","r/r","S/+"
"M0866","FR","R/R","S/+"
"M0867","FR","R/R","S/+"
"M0873","FR","R/R","S/+"
"M0877","FR","R/R","S/+"
"M0878","FR","R/R","S/+"
"M0880","Wh","r/r","S/+"
"M0883","WO","R/r","s/s"
"M0884","WO","R/r","s/s"
"M0888","Ye","r/r","s/s"
"M0897","Ye","r/r","s/s"
"M0898","Ye","r/r","s/s"
"M0899","Ye","r/r","s/s"
"M0900","FR","R/R","S/+"
"M0921","Ye","r/r","s/s"
"M0922","Ye","r/r","s/s"
"M0902","Ye","r/r","s/s"
"M0927","WO","R/r","s/s"
"M0931","Ye","r/r","s/s"
"M0932","WO","R/r","s/s"
"M0933","Ye","r/r","s/s"
"M0935","WR","R/r","S/+"
"M0936","WO","R/r","s/s"
"M0938","Ye","r/r","s/s"
"M0939","WO","R/r","s/s"
"M0944","Ye","r/r","s/s"
"M0948","WR","R/r","S/+"
"M0949","Ye","r/r","s/s"
"M0950","Ye","r/r","s/s"
"M0952","Ye","r/r","s/s"
"M0953","Ye","r/r","s/s"
"M0956","Ye","r/r","s/s"
"M0957","Ye","r/r","s/s"
"M0961","Ye","r/r","s/s"
"M0970","Ye","r/r","s/s"
"M0971","Ye","r/r","s/s"
"M0972","Ye","r/r","s/s"
"M0973","Ye","r/r","s/s"
"M0975","WO","R/r","s/s"
"M0976","Ye","r/r","s/s"
"M0980","Ye","r/r","s/s"
"M0982","Ye","r/r","s/s"
"M0984","Ye","r/r","s/s"
"M0986","Ye","r/r","s/s"
"M0987","WO","R/r","s/s"
"M0989","WO","R/r","s/s"
"M0991","Ye","r/r","s/s"
"M0995","Ye","r/r","s/s"
"M0996","FR","R/R","S/+"
"M0997","Wh","r/r","S/+"
"M1001","Ye","r/r","s/s"
"M1002","Ye","r/r","s/s"
"M1004","FR","R/R","S/+"
"M1005","Wh","r/r","S/+"
"M1006","WR","R/r","S/+"
"K1804","Wh","r/r","S/+"
"M1008","Wh","r/r","S/+"
"M1009","FR","R/R","S/+"
"M1013","Ye","r/r","s/s"
"M1015","Ye","r/r","s/s"
"M1016","WR","R/r","S/+"
"M1017","Ye","r/r","s/s"
"M1018","Wh","r/r","S/+"
"M1019","Ye","r/r","s/s"
"M1020","FO","R/R","s/s"
"M1022","FR","R/R","S/+"
"M1024","WR","R/r","S/+"
"M1025","WO","R/r","s/s"
"M1028","WR","R/r","S/+"
"M1029","WR","R/r","S/+"
"M1030","Ye","r/r","s/s"
"M1032","Ye","r/r","s/s"
"M1033","FO","R/R","s/s"
"M1034","Ye","r/r","s/s"
"M1035","FR","R/R","S/+"
"M1038","FR","R/R","S/+"
"M1039","WR","R/r","S/+"
"M1040","FO","R/R","s/s"
"M1041","Ye","r/r","s/s"
"M1043","Ye","r/r","s/s"
"K0536","WR","R/r","S/+"
"M1047","FR","R/R","S/+"
"M1048","FR","R/R","S/+"
"M1049","Ye","r/r","s/s"
"M1051","FR","R/R","S/+"
"M1054","FR","R/R","S/+"
"M1056","FO","R/R","s/s"
"M1057","FR","R/R","S/+"
"M1058","FR","R/R","S/+"
"M1061","Wh","r/r","S/+"
"M1062","FR","R/R","S/+"
"M1064","FR","R/R","S/+"
"M1065","FO","R/R","s/s"
"M1066","FR","R/R","S/+"
"M1068","FR","R/R","S/+"
"M1069","FR","R/R","S/+"
"M1072","FR","R/R","S/+"
"M1075","FR","R/R","S/+"
"M1076","FR","R/R","S/+"
"M1081","WO","R/r","s/s"
"K0773","WR","R/r","S/+"
"M1092","FR","R/R","S/+"
"M1094","FR","R/R","S/+"
"M1100","FR","R/R","S/+"
"M1101","FR","R/R","S/+"
"M1102","FR","R/R","S/+"
"M1104","FR","R/R","S/+"
"M1106","FR","R/R","S/+"
"M1108","FR","R/R","S/+"
"M1109","FR","R/R","S/+"
"M1110","FR","R/R","S/+"
"M1111","FR","R/R","S/+"
"M1112","FR","R/R","S/+"
"M1113","FR","R/R","S/+"
"M1114","FR","R/R","S/+"
"M1116","FO","R/R","s/s"
"M1118","FR","R/R","S/+"
"M1119","FR","R/R","S/+"
"M1122","FR","R/R","S/+"
"M1123","FR","R/R","S/+"
"M1124","FR","R/R","S/+"
"M1125","FR","R/R","S/+"
"M1130","FR","R/R","S/+"
"M1131","FR","R/R","S/+"
"M1132","FR","R/R","S/+"
"M1133","FR","R/R","S/+"
"M1135","FR","R/R","S/+"
"M1136","FR","R/R","S/+"
"M1137","FR","R/R","S/+"
"M1138","FO","R/R","s/s"
"M1139","FR","R/R","S/+"
"M1141","FR","R/R","S/+"
"M1142","FR","R/R","S/+"
"M1145","FR","R/R","S/+"
"M1146","FR","R/R","S/+"
"M1147","FR","R/R","S/+"
"M1148","FR","R/R","S/+"
"M1149","FR","R/R","S/+"
"M1150","FR","R/R","S/+"
"M1152","FR","R/R","S/+"
"M1153","Ye","r/r","s/s"
"M1157","WO","R/r","s/s"
"M1158","Ye","r/r","s/s"
"M1161","FR","R/R","S/+"
"M1162","FR","R/R","S/+"
"M1165","FR","R/R","S/+"
"M1166","Ye","r/r","s/s"
"M1167","Ye","r/r","s/s"
"M1168","FR","R/R","S/+"
"M1170","FR","R/R","S/+"
"M1172","Ye","r/r","s/s"
"M1174","FR","R/R","S/+"
"M1175","Ye","r/r","s/s"
"M1176","Ye","r/r","s/s"
"M1178","FR","R/R","S/+"
"M1179","FR","R/R","S/+"
"M1181","Ye","r/r","s/s"
"M1184","Ye","r/r","s/s"
"M1185","Ye","r/r","s/s"
"M1186","Ye","r/r","s/s"
"M1187","Wh","r/r","S/+"
"M1188","Ye","r/r","s/s"
"M1189","FR","R/R","S/+"
"M1190","Ye","r/r","s/s"
"M1191","WO","R/r","s/s"
"M1192","Ye","r/r","s/s"
"M1194","Ye","r/r","s/s"
"M1195","Ye","r/r","s/s"
"M1196","FO","R/R","s/s"
"M1197","Ye","r/r","s/s"
"M1199","WR","R/r","S/+"
"M1202","WO","R/r","s/s"
"M1203","Ye","r/r","s/s"
"M1204","Ye","r/r","s/s"
"M1205","WR","R/r","S/+"
"M1208","Ye","r/r","s/s"
"M1209","Ye","r/r","s/s"
"M1210","Ye","r/r","s/s"
"M1212","Ye","r/r","s/s"
"M1213","Ye","r/r","s/s"
"M1217","WO","R/r","s/s"
"M1221","Ye","r/r","s/s"
"M1223","FR","R/R","S/+"
"M1224","WR","R/r","S/+"
"M1226","Ye","r/r","s/s"
"M1227","WO","R/r","s/s"
"M1228","WR","R/r","S/+"
"M1230","Ye","r/r","s/s"
"M1231","WR","R/r","S/+"
"M1232","Ye","r/r","s/s"
"M1233","FO","R/R","s/s"
"M1237","FR","R/R","S/+"
"M1240","Ye","r/r","s/s"
"M1241","Ye","r/r","s/s"
"M1242","WR","R/r","S/+"
"M1244","Wh","r/r","S/+"
"M1246","WR","R/r","S/+"
"M1249","WO","R/r","s/s"
"M1258","FR","R/R","S/+"
"M1261","FR","R/R","S/+"
"M1262","FR","R/R","S/+"
"M1263","FR","R/R","S/+"
"M1267","Ye","r/r","s/s"
"M1268","FR","R/R","S/+"
"M1270","WR","R/r","S/+"
"M1271","FR","R/R","S/+"
"M1272","FR","R/R","S/+"
"M1274","WR","R/r","S/+"
"M1277","FR","R/R","S/+"
"M1278","FR","R/R","S/+"
"M1280","FR","R/R","S/+"
"M1281","FR","R/R","S/+"
"M1282","FR","R/R","S/+"
"M1285","FR","R/R","S/+"
"M1286","FR","R/R","S/+"
"M1289","FR","R/R","S/+"
"M1290","FR","R/R","S/+"
"M1291","FR","R/R","S/+"
"M1294","WR","R/r","S/+"
"M1295","FR","R/R","S/+"
"M1296","FR","R/R","S/+"
"M1297","FR","R/R","S/+"
"M1298","FR","R/R","S/+"
"M1303","FR","R/R","S/+"
"M1305","FR","R/R","S/+"
"M1306","WR","R/r","S/+"
"M1307","FR","R/R","S/+"
"M1310","Ye","r/r","s/s"
"M1311","WR","R/r","S/+"
"M1315","FR","R/R","S/+"
"M1317","FO","R/R","s/s"
"M1319","FR","R/R","S/+"
"M1320","FO","R/R","s/s"
"M1323","Wh","r/r","S/+"
"M1324","FR","R/R","S/+"
"M1326","WR","R/r","S/+"
"M1328","FR","R/R","S/+"
"M1329","FR","R/R","S/+"
"M1331","FR","R/R","S/+"
"M1332","FR","R/R","S/+"
"M1336","FR","R/R","S/+"
"M1340","FR","R/R","S/+"
"M1345","FR","R/R","S/+"
"M1346","FR","R/R","S/+"
"M1348","FR","R/R","S/+"
"M1350","FR","R/R","S/+"
"M1351","FR","R/R","S/+"
"M1353","Ye","r/r","s/s"
"M1356","Ye","r/r","s/s"
"M1358","FR","R/R","S/+"
"M1360","Ye","r/r","s/s"
"M1362","WR","R/r","S/+"
"M1363","Ye","r/r","s/s"
"M1364","WR","R/r","S/+"
"M1367","Wh","r/r","S/+"
"M1372","FO","R/R","s/s"
"M1373","Ye","r/r","s/s"
"M1374","Ye","r/r","s/s"
"M1375","WO","R/r","s/s"
"K1661","Ye","r/r","s/s"
"M1377","WO","R/r","s/s"
"M1378","Ye","r/r","s/s"
"M1379","WR","R/r","S/+"
"M1381","WR","R/r","S/+"
"M1383","FO","R/R","s/s"
"M1384","Ye","r/r","s/s"
"M1386","Ye","r/r","s/s"
"M1388","FR","R/R","S/+"
"M1389","Ye","r/r","s/s"
"M1390","WR","R/r","S/+"
"M1391","Ye","r/r","s/s"
"M1392","Ye","r/r","s/s"
"M1394","WR","R/r","S/+"
"M1396","FO","R/R","s/s"
"M1397","WR","R/r","S/+"
"M1398","FR","R/R","S/+"
"M1399","Ye","r/r","s/s"
"M1403","Ye","r/r","s/s"
"M1404","Ye","r/r","s/s"
"M1405","Ye","r/r","s/s"
"M1406","Ye","r/r","s/s"
"M1407","Ye","r/r","s/s"
"M1408","Ye","r/r","s/s"
"M1409","Ye","r/r","s/s"
"M1411","Ye","r/r","s/s"
"M1412","FO","R/R","s/s"
"M1417","Ye","r/r","s/s"
"M1418","Ye","r/r","s/s"
"M1421","Ye","r/r","s/s"
"M1424","Ye","r/r","s/s"
"M1427","Ye","r/r","s/s"
"M1428","Ye","r/r","s/s"
"M1429","Ye","r/r","s/s"
"M1431","Ye","r/r","s/s"
"M1432","Ye","r/r","s/s"
"M1433","Ye","r/r","s/s"
"M1434","Ye","r/r","s/s"
"M1436","Ye","r/r","s/s"
"M1438","Ye","r/r","s/s"
"M1439","Ye","r/r","s/s"
"M1440","Ye","r/r","s/s"
"M1442","Ye","r/r","s/s"
"M1445","FR","R/R","S/+"
"M1452","FO","R/R","s/s"
"M1454","WR","R/r","S/+"
"M1457","FR","R/R","S/+"
"M1458","WR","R/r","S/+"
"M1459","FR","R/R","S/+"
"M1460","WR","R/r","S/+"
"M1461","FR","R/R","S/+"
"M1462","FR","R/R","S/+"
"M1463","WO","R/r","s/s"
"M1464","FR","R/R","S/+"
"M1465","WR","R/r","S/+"
"M1466","Wh","r/r","S/+"
"M1468","FR","R/R","S/+"
"M1469","WR","R/r","S/+"
"M1470","FO","R/R","s/s"
"M1473","FR","R/R","S/+"
"M1474","WR","R/r","S/+"
"M1475","WR","R/r","S/+"
"M1476","WR","R/r","S/+"
"M1477","FR","R/R","S/+"
"M1478","WR","R/r","S/+"
"K0508","WR","R/r","S/+"
"M1480","FR","R/R","S/+"
"M1481","WR","R/r","S/+"
"M1482","FR","R/R","S/+"
"M1483","FR","R/R","S/+"
"M1484","Wh","r/r","S/+"
"M1486","Ye","r/r","s/s"
"M1489","FR","R/R","S/+"
"M1490","Ye","r/r","s/s"
"M1491","FR","R/R","S/+"
"M1492","FR","R/R","S/+"
"M1494","FR","R/R","S/+"
"M1496","Ye","r/r","s/s"
"M1497","FR","R/R","S/+"
"M1498","FR","R/R","S/+"
"M1499","Ye","r/r","s/s"
"M1500","FR","R/R","S/+"
"M1501","WO","R/r","s/s"
"M1503","FR","R/R","S/+"
"K1664","Ye","r/r","s/s"
"M1506","FR","R/R","S/+"
"M1507","Ye","r/r","s/s"
"M1513","Ye","r/r","s/s"
"M1514","FR","R/R","S/+"
"M1516","FR","R/R","S/+"
"M1518","FR","R/R","S/+"
"M1519","WR","R/r","S/+"
"M1521","Ye","r/r","s/s"
"M1523","FR","R/R","S/+"
"M1526","Ye","r/r","s/s"
"M1528","Ye","r/r","s/s"
"M1529","Ye","r/r","s/s"
"J1337","WO","R/r","s/s"
"M1533","Ye","r/r","s/s"
"M1535","FR","R/R","S/+"
"M1537","FR","R/R","S/+"
"M1538","Ye","r/r","s/s"
"M1539","Ye","r/r","s/s"
"M1542","Ye","r/r","s/s"
"M1543","FR","R/R","S/+"
"M1547","WO","R/r","s/s"
"M1549","Wh","r/r","S/+"
"M1550","Wh","r/r","S/+"
"M1551","Ye","r/r","s/s"
"M1554","Ye","r/r","s/s"
"M1555","Wh","r/r","S/+"
"M1556","Ye","r/r","s/s"
"M1557","Ye","r/r","s/s"
"M1559","Ye","r/r","s/s"
"M1560","Ye","r/r","s/s"
"M1562","Ye","r/r","s/s"
"M1563","Ye","r/r","s/s"
"M1564","Ye","r/r","s/s"
"M1566","Ye","r/r","s/s"
"M1567","Ye","r/r","s/s"
"M1568","Ye","r/r","s/s"
"M1569","Ye","r/r","s/s"
"M1250","Ye","r/r","s/s"
"M1571","Ye","r/r","s/s"
"M1573","Ye","r/r","s/s"
"M1574","WO","R/r","s/s"
"M1577","Ye","r/r","s/s"
